host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,support_y_bias_cm,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n
1783988601.104,42777000,236,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,-1.3351119756698608,-0.6856873631477356,0.20879197120666504,1.0,0.15777267515659332,-0.15777267515659332,0.2403586357831955,-0.2403586357831955
1783988601.120,42791000,237,1,0,0,10.0,25.018983840942383,10.0,25.018983840942383,8.790440559387207,25.541423797607422,-0.5224406719207764,28.18785858154297,44.06393814086914,0.0,0.0,0.018983248621225357,1.0,1.0,0.0,-0.7642120718955994,,,,,,,,,,,,,,,,
1783988601.139,42807000,238,1,1,0,10.0,24.981054306030273,10.0,24.981054306030273,9.476217269897461,25.099872589111328,-0.11882036924362183,43.89388656616211,47.51216506958008,0.0,0.0,-0.01894654519855976,1.0,1.0,0.0,1.3069278001785278,,,,,,,,,,,,,,,,
1783988601.161,42826000,239,1,2,0,10.0,25.038272857666016,10.0,25.038272857666016,8.834413528442383,25.013500213623047,0.024771690368652344,47.778968811035156,47.07154846191406,0.0,0.0,0.03827225789427757,1.0,1.0,0.0,-1.3735930919647217,,,,,,,,,,,,,,,,
1783988601.186,42848000,240,1,3,0,10.0,24.961896896362305,10.0,24.961896896362305,9.072418212890625,25.437358856201172,-0.47546178102493286,35.281776428222656,49.94131088256836,0.0,0.0,-0.0381026491522789,1.0,1.0,0.0,1.0028737783432007,,,,,,,,,,,,,,,,
1783988601.213,42873000,241,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,-1.325819969177246,-0.687409520149231,0.20670151710510254,1.0,0.1541244387626648,-0.1541244387626648,0.23630300164222717,-0.23630300164222717
1783988601.215,42900000,242,1,0,0,10.0,25.018474578857422,10.0,25.018474578857422,8.79146671295166,25.540565490722656,-0.5220919847488403,28.230005264282227,44.0602912902832,0.0,0.0,0.018474457785487175,1.0,1.0,0.0,-0.7656837105751038,,,,,,,,,,,,,,,,
1783988601.247,42921000,243,1,1,0,10.0,24.981416702270508,10.0,24.981416702270508,9.476112365722656,25.099971771240234,-0.11855512857437134,43.95825958251953,47.51435470581055,0.0,0.0,-0.018583090975880623,1.0,1.0,0.0,1.3088301420211792,,,,,,,,,,,,,,,,
1783988601.264,42935000,244,1,2,0,10.0,25.03848648071289,10.0,25.03848648071289,8.82914924621582,25.01765251159668,0.020834803581237793,47.67398452758789,47.072486877441406,0.0,0.0,0.038487039506435394,1.0,1.0,0.0,-1.3702237606048584,,,,,,,,,,,,,,,,
1783988601.282,42950000,245,1,3,0,10.0,24.96141242980957,10.0,24.96141242980957,9.070367813110352,25.437673568725586,-0.4762619733810425,35.555389404296875,49.9385986328125,0.0,0.0,-0.03858732432126999,1.0,1.0,0.0,1.0117255449295044,,,,,,,,,,,,,,,,
1783988601.304,42969000,246,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,-1.3339650630950928,-0.6891294121742249,0.20853343605995178,1.0,0.15692293643951416,-0.15692293643951416,0.24025240540504456,-0.24025240540504456
1783988601.327,42991000,247,1,0,0,10.0,25.01882553100586,10.0,25.01882553100586,8.788963317871094,25.542787551879883,-0.5239605903625488,28.016857147216797,44.063087463378906,0.0,0.0,0.018825771287083626,1.0,1.0,0.0,-0.7584065198898315,,,,,,,,,,,,,,,,
1783988601.354,43014000,248,1,1,0,10.0,24.981138229370117,10.0,24.981138229370117,9.475384712219238,25.10019302368164,-0.11905431747436523,43.840641021728516,47.51252746582031,0.0,0.0,-0.018861327320337296,1.0,1.0,0.0,1.3051705360412598,,,,,,,,,,,,,,,,
1783988601.356,43041000,249,1,2,0,10.0,25.038393020629883,10.0,25.038393020629883,8.833046913146973,25.014850616455078,0.023540854454040527,47.643436431884766,47.072208404541016,0.0,0.0,0.038393937051296234,1.0,1.0,0.0,-1.3693495988845825,,,,,,,,,,,,,,,,
1783988601.390,43062000,250,1,3,0,10.0,24.962190628051758,10.0,24.962190628051758,9.070969581604004,25.438817977905273,-0.47662854194641113,35.395355224609375,49.94306945800781,0.0,0.0,-0.03780866414308548,1.0,1.0,0.0,1.006725788116455,,,,,,,,,,,,,,,,
1783988601.406,43077000,251,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,-1.3227124214172363,-0.6838192939758301,0.2060045301914215,1.0,0.15342089533805847,-0.15342089533805847,0.23445084691047668,-0.23445084691047668
1783988601.423,43093000,252,1,0,0,10.0,25.0184268951416,10.0,25.0184268951416,8.791775703430176,25.539987564086914,-0.5215615034103394,28.202672958374023,44.05958557128906,0.0,0.0,0.01842608116567135,1.0,1.0,0.0,-0.764782190322876,,,,,,,,,,,,,,,,
1783988601.444,43111000,253,1,1,0,10.0,24.981609344482422,10.0,24.981609344482422,9.476119995117188,25.099960327148438,-0.11835098266601562,43.95894241333008,47.516258239746094,0.0,0.0,-0.01839086227118969,1.0,1.0,0.0,1.3088326454162598,,,,,,,,,,,,,,,,
1783988601.465,43131000,254,1,2,0,10.0,25.03790855407715,10.0,25.03790855407715,8.831552505493164,25.015470504760742,0.0224381685256958,47.829551696777344,47.068992614746094,0.0,0.0,0.03790857642889023,1.0,1.0,0.0,-1.37497079372406,,,,,,,,,,,,,,,,
1783988601.490,43152000,255,1,3,0,10.0,24.96186065673828,10.0,24.96186065673828,9.071395874023438,25.437868118286133,-0.4760071635246277,35.54517364501953,49.94123840332031,0.0,0.0,-0.03813929483294487,1.0,1.0,0.0,1.0115344524383545,,,,,,,,,,,,,,,,
1783988601.516,43177000,0,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,-1.335784673690796,-0.6852729916572571,0.20894363522529602,1.0,0.1580743044614792,-0.1580743044614792,0.2406182438135147,-0.2406182438135147
1783988601.518,43203000,1,1,0,0,10.0,25.01902961730957,10.0,25.01902961730957,8.788256645202637,25.54171371459961,-0.5226850509643555,28.259342193603516,44.064239501953125,0.0,0.0,0.019028836861252785,1.0,1.0,0.0,-0.7667979001998901,,,,,,,,,,,,,,,,
1783988601.553,43226000,2,1,1,0,10.0,24.98043441772461,10.0,24.98043441772461,9.474693298339844,25.100454330444336,-0.12002140283584595,43.79140853881836,47.50799560546875,0.0,0.0,-0.01956603303551674,1.0,1.0,0.0,1.3034272193908691,,,,,,,,,,,,,,,,
1783988601.571,43240000,3,1,2,0,10.0,25.038869857788086,10.0,25.038869857788086,8.830570220947266,25.017189025878906,0.02167820930480957,47.75600051879883,47.07583236694336,0.0,0.0,0.038870666176080704,1.0,1.0,0.0,-1.3731335401535034,,,,,,,,,,,,,,,,
1783988601.589,43257000,4,1,3,0,10.0,24.961328506469727,10.0,24.961328506469727,9.072429656982422,25.435993194580078,-0.474664568901062,35.4201774597168,49.93707275390625,0.0,0.0,-0.03867094963788986,1.0,1.0,0.0,1.0070518255233765,,,,,,,,,,,,,,,,
1783988601.609,43276000,5,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,-1.3321540355682373,-0.6732282638549805,0.208125501871109,1.0,0.1582009345293045,-0.1582009345293045,0.23746787011623383,-0.23746787011623383
1783988601.632,43296000,6,1,0,0,10.0,25.01919937133789,10.0,25.01919937133789,8.788705825805664,25.543481826782227,-0.5242824554443359,28.264671325683594,44.06436538696289,0.0,0.0,0.019199496135115623,1.0,1.0,0.0,-0.7666715979576111,,,,,,,,,,,,,,,,
1783988601.659,43319000,7,1,1,0,10.0,24.980979919433594,10.0,24.980979919433594,9.47708797454834,25.099123001098633,-0.11814385652542114,43.825904846191406,47.512725830078125,0.0,0.0,-0.01901930198073387,1.0,1.0,0.0,1.3048561811447144,,,,,,,,,,,,,,,,
1783988601.661,43346000,8,1,2,0,10.0,25.03760528564453,10.0,25.03760528564453,8.833039283752441,25.014850616455078,0.02275407314300537,47.66432571411133,47.067909240722656,0.0,0.0,0.03760523721575737,1.0,1.0,0.0,-1.3699932098388672,,,,,,,,,,,,,,,,
1783988601.695,43367000,9,1,3,0,10.0,24.9621639251709,10.0,24.9621639251709,9.072060585021973,25.437923431396484,-0.4757612943649292,35.42786407470703,49.94233322143555,0.0,0.0,-0.03783556818962097,1.0,1.0,0.0,1.0075210332870483,,,,,,,,,,,,,,,,
1783988601.713,43382000,10,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,-1.3321292400360107,-0.674139142036438,0.2081199288368225,1.0,0.15808002650737762,-0.15808002650737762,0.2375682145357132,-0.2375682145357132
1783988601.731,43399000,11,1,0,0,10.0,25.01917266845703,10.0,25.01917266845703,8.789541244506836,25.54072380065918,-0.521552562713623,28.167924880981445,44.064247131347656,0.0,0.0,0.019171718508005142,1.0,1.0,0.0,-0.76326984167099,,,,,,,,,,,,,,,,
1783988601.753,43418000,12,1,1,0,10.0,24.98073387145996,10.0,24.98073387145996,9.47630786895752,25.099462509155273,-0.11872947216033936,43.920772552490234,47.51081466674805,0.0,0.0,-0.019266434013843536,1.0,1.0,0.0,1.3079290390014648,,,,,,,,,,,,,,,,
