host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_relief_cm,gait_rear_x_relief_cmps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg
1784037273.512,185806000,104,1,0,0,10.0,25.0,10.0,25.0,8.70256233215332,25.35917091369629,-0.35917162895202637,32.99678039550781,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9058812260627747,1.2974367141723633,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.578,185816000,105,1,1,0,10.0,25.0,10.0,25.0,9.093661308288574,25.245697021484375,-0.2456963062286377,40.136966705322266,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.1569161415100098,0.9063385725021362,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.578,185826000,106,1,2,0,10.0,25.0,10.0,25.0,8.726696968078613,25.232528686523438,-0.2325296401977539,39.518150329589844,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1066659688949585,1.2733027935028076,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.578,185836000,107,1,3,0,10.0,25.0,10.0,25.0,9.094199180603027,25.43044090270996,-0.43044090270996094,37.27363586425781,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.065921664237976,0.9058005809783936,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.579,185846000,108,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784037273.580,185856000,109,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784037273.602,185906000,114,1,0,0,10.0,25.0,10.0,25.0,8.70011043548584,25.35907554626465,-0.35907626152038574,32.9464111328125,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9038938879966736,1.299889326095581,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.603,185916000,115,1,1,0,10.0,25.0,10.0,25.0,9.094204902648926,25.245630264282227,-0.24563074111938477,40.266502380371094,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.161218523979187,0.905794620513916,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.603,185926000,116,1,2,0,10.0,25.0,10.0,25.0,8.723727226257324,25.234498977661133,-0.23449957370758057,39.60215759277344,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.109826922416687,1.2762718200683594,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.603,185936000,117,1,3,0,10.0,25.0,10.0,25.0,9.092626571655273,25.431087493896484,-0.4310876131057739,36.98119354248047,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0562530755996704,0.9073727130889893,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.615,185946000,118,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784037273.616,185956000,119,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784037273.660,186006000,124,1,0,0,10.0,25.0,10.0,25.0,8.7014799118042,25.36005973815918,-0.3600597381591797,32.904266357421875,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9026421904563904,1.298519253730774,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.661,186016000,125,1,1,0,10.0,25.0,10.0,25.0,9.093865394592285,25.245193481445312,-0.24519264698028564,40.21185302734375,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.1593592166900635,0.9061336517333984,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.661,186026000,126,1,2,0,10.0,25.0,10.0,25.0,8.726410865783691,25.233184814453125,-0.2331852912902832,39.75281524658203,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1147379875183105,1.2735888957977295,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.661,186036000,127,1,3,0,10.0,25.0,10.0,25.0,9.093036651611328,25.430511474609375,-0.4305124282836914,36.9815559387207,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0561482906341553,0.9069628715515137,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.662,186046000,128,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784037273.662,186056000,129,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784037273.702,186106000,134,1,0,0,10.0,25.0,10.0,25.0,8.700592994689941,25.359333038330078,-0.3593325614929199,32.893653869628906,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9023279547691345,1.2994065284729004,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.703,186116000,135,1,1,0,10.0,25.0,10.0,25.0,9.094204902648926,25.245630264282227,-0.24563074111938477,40.2142448425293,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.1595282554626465,0.905794620513916,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.703,186126000,136,1,2,0,10.0,25.0,10.0,25.0,8.723071098327637,25.234676361083984,-0.23467540740966797,39.58663558959961,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1090997457504272,1.276928186416626,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.705,186136000,137,1,3,0,10.0,25.0,10.0,25.0,9.094024658203125,25.4305477142334,-0.43054819107055664,37.02521514892578,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0577762126922607,0.9059749841690063,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.707,186146000,138,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784037273.707,186156000,139,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784037273.708,186206000,144,1,0,0,10.0,25.0,10.0,25.0,8.700490951538086,25.360828399658203,-0.3608286380767822,32.88315963745117,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9021760821342468,1.2995086908340454,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.759,186216000,145,1,1,0,10.0,25.0,10.0,25.0,9.093602180480957,25.24571418762207,-0.2457141876220703,40.08457946777344,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.1552722454071045,0.9063974022865295,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.759,186226000,146,1,2,0,10.0,25.0,10.0,25.0,8.725239753723145,25.23389434814453,-0.23389458656311035,39.88309097290039,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1185047626495361,1.274759292602539,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.760,186236000,147,1,3,0,10.0,25.0,10.0,25.0,9.093487739562988,25.429407119750977,-0.4294067621231079,36.759002685546875,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0491136312484741,0.9065114259719849,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.799,186406000,164,1,0,0,10.0,25.0,10.0,25.0,8.698805809020996,25.360462188720703,-0.3604620695114136,32.907752990722656,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.90263831615448,1.3011932373046875,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.799,186416000,165,1,1,0,10.0,25.0,10.0,25.0,9.093565940856934,25.245773315429688,-0.2457737922668457,40.206539154052734,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.1592204570770264,0.9064339399337769,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.830,186426000,166,1,2,0,10.0,25.0,10.0,25.0,8.723020553588867,25.234655380249023,-0.23465454578399658,39.68850326538086,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1125503778457642,1.276978850364685,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.830,186436000,167,1,3,0,10.0,25.0,10.0,25.0,9.092642784118652,25.429851531982422,-0.42985081672668457,37.44389724731445,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0707087516784668,0.9073562622070312,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.847,186446000,168,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784037273.848,186456000,169,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784037273.922,186506000,174,1,0,0,10.0,25.0,10.0,25.0,8.702807426452637,25.35870933532715,-0.3587096929550171,33.07651901245117,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9084806442260742,1.2971923351287842,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.922,186516000,175,1,1,0,10.0,25.0,10.0,25.0,9.093886375427246,25.245145797729492,-0.24514496326446533,40.21031188964844,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.159316897392273,0.906112790107727,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.926,186526000,176,1,2,0,10.0,25.0,10.0,25.0,8.726841926574707,25.233333587646484,-0.23333430290222168,39.605648040771484,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1102168560028076,1.2731574773788452,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.930,186536000,177,1,3,0,10.0,25.0,10.0,25.0,9.094091415405273,25.43065643310547,-0.43065547943115234,36.75621032714844,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0489104986190796,0.9059078693389893,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037273.969,186546000,178,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784037273.969,186556000,179,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784037273.998,186606000,184,1,0,0,10.0,25.0,10.0,25.0,8.699033737182617,25.35991096496582,-0.3599107265472412,32.89206314086914,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9020785689353943,1.3009653091430664,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037274.003,186616000,185,1,1,0,10.0,25.0,10.0,25.0,9.094253540039062,25.24552345275879,-0.24552345275878906,40.207000732421875,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.159371018409729,0.9057455062866211,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037274.016,186626000,186,1,2,0,10.0,25.0,10.0,25.0,8.722732543945312,25.233989715576172,-0.23398995399475098,39.88138198852539,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1186565160751343,1.2772672176361084,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037274.058,186636000,187,1,3,0,10.0,25.0,10.0,25.0,9.092327117919922,25.43044090270996,-0.43044090270996094,37.01634216308594,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.057482361793518,0.9076721668243408,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037274.125,186646000,188,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784037274.126,186656000,189,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784037274.126,186706000,194,1,0,0,10.0,25.0,10.0,25.0,8.700811386108398,25.360239028930664,-0.36023855209350586,32.94121551513672,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9039077162742615,1.2991875410079956,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037274.126,186716000,195,1,1,0,10.0,25.0,10.0,25.0,9.093860626220703,25.245193481445312,-0.24519264698028564,40.26054382324219,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.1609529256820679,0.9061388969421387,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784037274.127,186726000,196,1,2,0,10.0,25.0,10.0,25.0,8.7276029586792,25.23306655883789,-0.23306608200073242,39.660789489746094,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1121093034744263,1.2723968029022217,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
