host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_relief_cm,gait_rear_x_relief_cmps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg
1784043425.153,321846000,140,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784043425.221,321856000,141,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784043425.224,321906000,146,1,0,0,10.0,25.0,10.0,25.0,8.834990501403809,25.36686134338379,-0.36686062812805176,32.76921081542969,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9097275733947754,1.1650092601776123,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784043425.224,321916000,147,1,1,0,10.0,25.0,10.0,25.0,8.934100151062012,25.299335479736328,-0.2993345260620117,38.50140380859375,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.092755913734436,1.06589937210083,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784043425.224,321926000,148,1,2,0,10.0,25.0,10.0,25.0,8.77168083190918,25.213077545166016,-0.21307766437530518,40.32778549194336,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1365598440170288,1.2283183336257935,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784043425.250,321936000,149,1,3,0,10.0,25.0,10.0,25.0,9.062231063842773,25.4146785736084,-0.4146784543991089,37.59069061279297,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0727155208587646,0.9377681016921997,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784043425.251,321946000,150,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784043425.251,321956000,151,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784043425.262,322006000,156,1,0,0,10.0,25.0,10.0,25.0,8.834142684936523,25.36715316772461,-0.36715269088745117,32.766845703125,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.909804105758667,1.165857195854187,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784043425.262,322016000,157,1,1,0,10.0,25.0,10.0,25.0,8.933349609375,25.299602508544922,-0.299602746963501,38.514549255371094,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.093004822731018,1.0666496753692627,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
