host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,x_alignment,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_safety_relief_cm,gait_rear_x_safety_relief_cmps,gait_sync_mps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg,att_accel_abs_mps2
1784055280.049,330499000,170,1,0,0,10.0,24.99736213684082,10.0,24.99736213684082,8.633224487304688,25.31389045715332,-0.31652897596359253,34.239864349365234,43.8879280090332,0.0,0.0,0.0,1.0,1.0,0.0,-0.9387453198432922,1.3667747974395752,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784055280.174,330515000,171,1,1,0,10.0,25.002614974975586,10.0,25.002614974975586,8.550698280334473,25.365018844604492,-0.3624051809310913,36.672325134277344,47.6876335144043,0.0,0.0,0.0,1.0,1.0,0.0,1.0028862953186035,1.4493011236190796,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784055280.174,330532000,172,1,2,0,10.0,24.9974308013916,10.0,24.9974308013916,8.833513259887695,25.13446807861328,-0.13703852891921997,42.54065704345703,46.815486907958984,0.0,0.0,0.0,1.0,1.0,0.0,-1.210776925086975,1.1664860248565674,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784055280.174,330552000,173,1,3,0,10.0,25.002498626708984,10.0,25.002498626708984,9.073075294494629,25.377273559570312,-0.37477612495422363,38.81646728515625,50.19575119018555,0.0,0.0,0.0,1.0,1.0,0.0,1.111965537071228,0.926924467086792,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784055280.175,330573000,174,2,255,0,,,,,,,,,,,,,,,,,,,,0.10000000149011612,0.1484643667936325,2.7484400272369385,2.337055206298828,2.7484400272369385,2.337055206298828,0.0,0.0,0.5712676048278809,0.28711390495300293,0.07473155111074448,1.0,-0.016003640368580818,0.016003640368580818,-0.016003640368580818,0.016003640368580818,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1784055280.312,330596000,175,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.9272130727767944,0.07338270545005798,0.5159777402877808,0.30804842710494995,0.008991402573883533,0.0,0.03503608703613281,0.003230736358091235,-1.4112353324890137,0.38143113255500793,9.774964332580566
1784055280.326,330684000,180,1,0,0,10.0,24.997713088989258,10.0,24.997713088989258,8.633108139038086,25.315439224243164,-0.3177270293235779,34.32057189941406,43.890357971191406,0.0,0.0,0.0,1.0,1.0,0.0,-0.9410799741744995,1.3668909072875977,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784055280.326,330702000,181,1,1,0,10.0,25.002347946166992,10.0,25.002347946166992,8.550182342529297,25.36599349975586,-0.36364495754241943,36.377532958984375,47.68578338623047,0.0,0.0,0.0,1.0,1.0,0.0,0.9937414526939392,1.4498167037963867,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784055280.326,330722000,182,1,2,0,10.0,24.99759292602539,10.0,24.99759292602539,8.833965301513672,25.13481903076172,-0.13722777366638184,42.80768585205078,46.81660079956055,0.0,0.0,0.0,1.0,1.0,0.0,-1.2198772430419922,1.1660337448120117,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784055280.352,330744000,183,1,3,0,10.0,25.002437591552734,10.0,25.002437591552734,9.072149276733398,25.378084182739258,-0.37564635276794434,38.81209945678711,50.19533157348633,0.0,0.0,0.0,1.0,1.0,0.0,1.1117591857910156,0.9278498888015747,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
