host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_relief_cm,gait_rear_x_relief_cmps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg
1784046667.220,240656000,213,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784046667.274,240706000,218,1,0,0,10.0,25.0,10.0,25.0,8.765569686889648,25.341245651245117,-0.34124553203582764,33.440879821777344,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9246612191200256,1.2344300746917725,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.283,240716000,219,1,1,0,10.0,25.0,10.0,25.0,8.858948707580566,25.36648178100586,-0.366482138633728,36.55612564086914,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.026108741760254,1.1410504579544067,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.296,240726000,220,1,2,0,10.0,25.0,10.0,25.0,8.711079597473145,25.216575622558594,-0.2165764570236206,40.317115783691406,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1310725212097168,1.2889199256896973,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.301,240736000,221,1,3,0,10.0,25.0,10.0,25.0,8.766448974609375,25.423503875732422,-0.42350292205810547,37.10776901245117,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0323550701141357,1.2335509061813354,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.316,240746000,222,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784046667.319,240756000,223,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784046667.377,240806000,228,1,0,0,10.0,25.0,10.0,25.0,8.765176773071289,25.339481353759766,-0.3394812345504761,33.469268798828125,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9254000782966614,1.2348227500915527,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.379,240816000,229,1,1,0,10.0,25.0,10.0,25.0,8.857410430908203,25.367488861083984,-0.36748945713043213,36.46463394165039,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.022810697555542,1.1425889730453491,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.394,240826000,230,1,2,0,10.0,25.0,10.0,25.0,8.70805835723877,25.21757698059082,-0.21757781505584717,40.258399963378906,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1289918422698975,1.2919411659240723,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.398,240836000,231,1,3,0,10.0,25.0,10.0,25.0,8.766316413879395,25.42363166809082,-0.42363107204437256,37.26881408691406,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0377906560897827,1.2336827516555786,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.418,240846000,232,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784046667.419,240856000,233,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784046667.475,240906000,238,1,0,0,10.0,25.0,10.0,25.0,8.765789985656738,25.340688705444336,-0.34068822860717773,33.450069427490234,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9250094294548035,1.2342095375061035,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.480,240916000,239,1,1,0,10.0,25.0,10.0,25.0,8.857500076293945,25.367420196533203,-0.36742091178894043,36.43199157714844,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.021868109703064,1.142499566078186,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.498,240926000,240,1,2,0,10.0,25.0,10.0,25.0,8.709495544433594,25.218408584594727,-0.21840929985046387,40.14516830444336,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1256096363067627,1.2905038595199585,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.498,240936000,241,1,3,0,10.0,25.0,10.0,25.0,8.767145156860352,25.423255920410156,-0.4232555627822876,37.22547149658203,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0366889238357544,1.2328542470932007,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.520,240946000,242,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784046667.523,240956000,243,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784046667.575,241006000,248,1,0,0,10.0,25.0,10.0,25.0,8.767173767089844,25.337949752807617,-0.33794939517974854,33.69117736816406,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9326143264770508,1.2328259944915771,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.604,241016000,249,1,1,0,10.0,25.0,10.0,25.0,8.85807991027832,25.36730194091797,-0.36730170249938965,36.44782257080078,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0224285125732422,1.1419191360473633,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.604,241026000,250,1,2,0,10.0,25.0,10.0,25.0,8.708580017089844,25.217782974243164,-0.21778345108032227,40.15624237060547,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1257197856903076,1.291419506072998,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.605,241036000,251,1,3,0,10.0,25.0,10.0,25.0,8.76708698272705,25.42336654663086,-0.42336583137512207,37.265899658203125,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0376994609832764,1.2329124212265015,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.620,241046000,252,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784046667.620,241056000,253,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784046667.680,241106000,2,1,0,0,10.0,25.0,10.0,25.0,8.765212059020996,25.340471267700195,-0.34047067165374756,33.51075744628906,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9269815683364868,1.2347869873046875,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.747,241116000,3,1,1,0,10.0,25.0,10.0,25.0,8.858331680297852,25.36669921875,-0.3666996955871582,36.54813766479492,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0257196426391602,1.141667366027832,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.748,241126000,4,1,2,0,10.0,25.0,10.0,25.0,8.707256317138672,25.219223022460938,-0.21922290325164795,40.092044830322266,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1236708164215088,1.2927435636520386,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.748,241136000,5,1,3,0,10.0,25.0,10.0,25.0,8.766613006591797,25.42305564880371,-0.42305588722229004,37.48256301879883,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0446666479110718,1.2333862781524658,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.748,241146000,6,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784046667.749,241156000,7,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784046667.794,241206000,12,1,0,0,10.0,25.0,10.0,25.0,8.767756462097168,25.339111328125,-0.33911168575286865,33.6029052734375,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9301086068153381,1.232243299484253,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.795,241216000,13,1,1,0,10.0,25.0,10.0,25.0,8.857430458068848,25.367441177368164,-0.3674417734146118,36.42506790161133,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0215966701507568,1.142568826675415,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.795,241226000,14,1,2,0,10.0,25.0,10.0,25.0,8.71017074584961,25.21723175048828,-0.2172321081161499,40.18074417114258,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1266818046569824,1.289828896522522,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.833,241236000,15,1,3,0,10.0,25.0,10.0,25.0,8.766618728637695,25.42306137084961,-0.4230618476867676,37.33205032348633,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.039786696434021,1.2333810329437256,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.834,241246000,16,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784046667.834,241256000,17,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784046667.878,241306000,22,1,0,0,10.0,25.0,10.0,25.0,8.764800071716309,25.340091705322266,-0.34009218215942383,33.48332214355469,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9259486198425293,1.2351996898651123,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.878,241316000,23,1,1,0,10.0,25.0,10.0,25.0,8.85813045501709,25.36719512939453,-0.36719441413879395,36.48036575317383,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0235618352890015,1.1418685913085938,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.907,241326000,24,1,2,0,10.0,25.0,10.0,25.0,8.70750617980957,25.218629837036133,-0.2186298370361328,40.1561164855957,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1259231567382812,1.292493224143982,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.907,241336000,25,1,3,0,10.0,25.0,10.0,25.0,8.766813278198242,25.42247200012207,-0.4224717617034912,37.3202018737793,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0395188331604004,1.2331857681274414,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.922,241346000,26,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784046667.922,241356000,27,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784046667.975,241406000,32,1,0,0,10.0,25.0,10.0,25.0,8.765246391296387,25.341733932495117,-0.34173429012298584,33.508872985839844,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9270268082618713,1.2347526550292969,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046667.979,241416000,33,1,1,0,10.0,25.0,10.0,25.0,8.858095169067383,25.367250442504883,-0.36725103855133057,36.43419647216797,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0221952199935913,1.141904354095459,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784046668.009,241426000,34,1,2,0,10.0,25.0,10.0,25.0,8.71056842803955,25.21756362915039,-0.21756291389465332,40.175254821777344,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1266100406646729,1.2894309759140015,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
