host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,support_y_bias_cm,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n
1784008116.674,40381000,76,1,0,0,10.0,25.0,10.0,25.0,8.818681716918945,25.3715877532959,-0.37158727645874023,32.60926818847656,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9038822650909424,,,,,,,,,,,,,,,,
1784008116.696,40401000,77,1,1,0,10.0,25.0,10.0,25.0,8.73823356628418,25.375152587890625,-0.3751516342163086,36.160465240478516,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0032413005828857,,,,,,,,,,,,,,,,
1784008116.720,40423000,78,1,2,0,10.0,25.0,10.0,25.0,9.037785530090332,25.100383758544922,-0.10038316249847412,43.81669998168945,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.2684593200683594,,,,,,,,,,,,,,,,
1784008116.746,40447000,79,1,3,0,10.0,25.0,10.0,25.0,8.747458457946777,25.48528289794922,-0.48528313636779785,35.48764419555664,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9808527827262878,,,,,,,,,,,,,,,,
1784008116.773,40473000,80,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.04622326418757439,-0.015812836587429047,0.04024461656808853,1.0,0.0,0.0,0.0,0.0
1784008116.859,40565000,85,1,0,0,10.0,25.0,10.0,25.0,8.819328308105469,25.371789932250977,-0.37178993225097656,32.548973083496094,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9015176892280579,,,,,,,,,,,,,,,,
1784008116.878,40584000,86,1,1,0,10.0,25.0,10.0,25.0,8.736778259277344,25.375646591186523,-0.37564635276794434,36.18753433227539,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0041046142578125,,,,,,,,,,,,,,,,
1784008116.901,40605000,87,1,2,0,10.0,25.0,10.0,25.0,9.041877746582031,25.09842872619629,-0.09842813014984131,43.78615951538086,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.267580270767212,,,,,,,,,,,,,,,,
1784008116.926,40627000,88,1,3,0,10.0,25.0,10.0,25.0,8.745789527893066,25.488534927368164,-0.4885345697402954,35.2721061706543,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9742274284362793,,,,,,,,,,,,,,,,
1784008116.952,40652000,89,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.05998026207089424,-0.010808410122990608,0.04041113331913948,1.0,0.0,0.0,0.0,0.0
1784008117.038,40744000,94,1,0,0,10.0,25.0,10.0,25.0,8.81845760345459,25.372140884399414,-0.37214159965515137,32.456993103027344,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.8985741138458252,,,,,,,,,,,,,,,,
1784008117.058,40763000,95,1,1,0,10.0,25.0,10.0,25.0,8.737761497497559,25.374841690063477,-0.37484169006347656,36.35370635986328,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.009711503982544,,,,,,,,,,,,,,,,
1784008117.081,40785000,96,1,2,0,10.0,25.0,10.0,25.0,9.041940689086914,25.099315643310547,-0.09931623935699463,43.8605842590332,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.2704678773880005,,,,,,,,,,,,,,,,
1784008117.104,40807000,97,1,3,0,10.0,25.0,10.0,25.0,8.7479829788208,25.4854736328125,-0.4854738712310791,35.25086212158203,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9734676480293274,,,,,,,,,,,,,,,,
1784008117.130,40831000,98,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.05445844307541847,-0.008812079206109047,0.04033916816115379,1.0,0.0,0.0,0.0,0.0
1784008117.225,40930000,103,1,0,0,10.0,25.0,10.0,25.0,8.816506385803223,25.37238883972168,-0.37238895893096924,32.59428024291992,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9027794599533081,,,,,,,,,,,,,,,,
