host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,x_alignment,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_safety_relief_cm,gait_rear_x_safety_relief_cmps,gait_sync_mps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg,att_accel_abs_mps2
1784058268.556,215645000,210,1,2,0,10.0,25.0,10.0,25.0,9.123748779296875,24.97751808166504,0.02248138189315796,47.73955154418945,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.3989315032958984,0.8762508630752563,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784058268.629,215666000,211,1,3,0,10.0,25.0,10.0,25.0,9.41500473022461,25.498210906982422,-0.4982113838195801,34.84960174560547,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0163359642028809,0.5849942564964294,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784058268.633,215690000,212,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.012523079290986061,-0.00947646051645279,0.04001803696155548,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1784058268.633,215717000,213,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.4253249168395996,0.13703157007694244,0.035015225410461426,-0.024925820529460907,0.0,0.0,0.015766143798828125,0.01207873597741127,-1.3903096914291382,0.11210574954748154,9.825766563415527
1784058268.648,215796000,218,1,0,0,10.0,25.0,10.0,25.0,9.261116027832031,25.33436393737793,-0.3343641757965088,33.79279327392578,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9761261343955994,0.7388830184936523,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784058268.648,215815000,219,1,1,0,10.0,25.0,10.0,25.0,9.27021312713623,25.13334083557129,-0.13334155082702637,43.56947708129883,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.279371738433838,0.7297858595848083,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784058268.649,215836000,220,1,2,0,10.0,25.0,10.0,25.0,9.122529983520508,24.97882843017578,0.02117156982421875,47.62779998779297,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.3953356742858887,0.8774690628051758,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784058268.649,215860000,221,1,3,0,10.0,25.0,10.0,25.0,9.41385555267334,25.49821662902832,-0.4982173442840576,35.08310317993164,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0235724449157715,0.5861438512802124,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784058268.649,215885000,222,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,-0.005780352279543877,-0.014608977362513542,0.0400245375931263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1784058268.650,215905000,223,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.4253249168395996,0.13703157007694244,0.021125197410583496,-0.006591230630874634,0.0,0.0,0.17830753326416016,0.0040647839196026325,-1.4041997194290161,0.1304403394460678,9.98830795288086
