host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,x_alignment,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_safety_relief_cm,gait_rear_x_safety_relief_cmps,gait_sync_mps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg,att_accel_abs_mps2,ctl_chassis_mode,ctl_sys_mode,ctl_current_state,ctl_gait_running,ctl_is_zeroing,ctl_target_vx_mps,ctl_target_wz_radps,ctl_target_state,ctl_vision_vx_mps,ctl_vision_wz_radps,ctl_vision_state,ctl_vision_age_ms,ctl_vision_timeout_count,ctl_vision_rx_count,ctl_usb_rx_packet_count,ctl_vision_frame_count,ctl_auto_task_state,ctl_auto_force_stop,ctl_motion_gate_open
1784080183.133,125395000,40,1,0,0,10.0,25.0,10.0,25.0,8.564419746398926,25.349014282226562,-0.3490149974822998,33.201744079589844,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9000905752182007,1.4355801343917847,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.152,125416000,41,1,1,0,10.0,25.0,10.0,25.0,8.882675170898438,25.370895385742188,-0.3708958625793457,36.51722717285156,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.027351975440979,1.1173241138458252,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.180,125438000,42,1,2,0,10.0,25.0,10.0,25.0,8.692354202270508,25.274145126342773,-0.27414560317993164,38.355281829833984,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.0682172775268555,1.3076454401016235,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.202,125462000,43,1,3,0,10.0,25.0,10.0,25.0,8.659444808959961,25.472864151000977,-0.4728645086288452,35.62975311279297,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9776719808578491,1.3405547142028809,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.203,125488000,44,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,-0.0002514757215976715,-0.012301737442612648,0.04001740366220474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.241,125509000,45,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.4888834953308105,0.46149715781211853,0.009419679641723633,-0.016471385955810547,0.0,0.0,0.06530189514160156,0.0076732453890144825,-1.479463815689087,0.445025771856308,9.8753023147583,,,,,,,,,,,,,,,,,,,
1784080183.333,125594000,50,1,0,0,10.0,25.0,10.0,25.0,8.531911849975586,25.39096450805664,-0.3909647464752197,36.61396026611328,48.78462600708008,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,-0.9983690977096558,1.4680876731872559,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.354,125615000,51,1,1,0,10.0,25.0,10.0,25.0,8.837697982788086,25.40066146850586,-0.4006624221801758,40.50492858886719,52.96616744995117,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,1.1414915323257446,1.162301778793335,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.379,125639000,52,1,2,0,10.0,25.0,10.0,25.0,8.637395858764648,25.307167053222656,-0.30716657638549805,42.37774658203125,52.03693771362305,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,-1.1769872903823853,1.3626031875610352,18.0,0.18802392482757568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.405,125664000,53,1,3,0,10.0,25.0,10.0,25.0,8.60908317565918,25.561931610107422,-0.5619317293167114,38.48968505859375,55.75386428833008,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,1.056479573249817,1.390916109085083,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.407,125691000,54,2,255,0,,,,,,,,,,,,,,,,,,,,0.20000000298023224,0.0,3.0214285850524902,2.4571428298950195,3.0214285850524902,2.4571428298950195,0.20000000298023224,0.0,0.0025055273436009884,-0.10675071179866791,0.022056706249713898,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.441,125712000,55,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.4888834953308105,0.46149715781211853,-0.0108720064163208,-0.2969452440738678,0.0,0.0,0.00782012939453125,0.018375124782323837,-1.4997555017471313,0.16455191373825073,9.81782054901123,,,,,,,,,,,,,,,,,,,
1784080183.535,125792000,60,1,0,0,10.0,25.0,10.0,25.0,8.645919799804688,25.38638687133789,-0.3863871097564697,37.23067855834961,48.78462600708008,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,-1.029678463935852,1.3540797233581543,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.553,125814000,61,1,1,0,10.0,25.0,10.0,25.0,8.60326099395752,25.483898162841797,-0.48389732837677,37.91294860839844,52.96616744995117,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,1.0301986932754517,1.3967387676239014,18.0,0.25613367557525635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.583,125839000,62,1,2,0,10.0,25.0,10.0,25.0,8.456334114074707,25.393199920654297,-0.3931999206542969,39.47937774658203,52.03693771362305,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,-1.0640544891357422,1.5436656475067139,18.0,0.311869740486145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784080183.583,125866000,63,1,3,0,10.0,24.999990463256836,10.0,24.999990463256836,8.995534896850586,25.41567611694336,-0.4156872630119324,43.46125793457031,55.75386428833008,0.0,0.0,0.0,0.0,0.7799999713897705,0.0,1.2479047775268555,1.004464864730835,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
