host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n
1784021359.657,146466000,10,1,0,0,10.0,25.0,10.0,25.0,8.738451957702637,25.361431121826172,-0.36143064498901367,32.912353515625,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9061769843101501,,,,,,,,,,,,,,,,
1784021359.660,146476000,11,1,1,0,10.0,25.0,10.0,25.0,8.740848541259766,25.34978485107422,-0.34978389739990234,36.97163391113281,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0287468433380127,,,,,,,,,,,,,,,,
1784021359.677,146486000,12,1,2,0,10.0,25.0,10.0,25.0,9.097321510314941,25.093603134155273,-0.09360313415527344,44.03529357910156,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.2803349494934082,,,,,,,,,,,,,,,,
1784021359.680,146496000,13,1,3,0,10.0,25.0,10.0,25.0,8.96534252166748,25.424121856689453,-0.42412281036376953,37.35477066040039,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.057443380355835,,,,,,,,,,,,,,,,
1784021359.696,146506000,14,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784021359.740,146556000,19,1,0,0,10.0,25.0,10.0,25.0,8.738059997558594,25.359678268432617,-0.3596782684326172,32.96326446533203,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9077397584915161,,,,,,,,,,,,,,,,
1784021359.757,146566000,20,1,1,0,10.0,25.0,10.0,25.0,8.741477012634277,25.349658966064453,-0.349658727645874,37.0711669921875,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.031969428062439,,,,,,,,,,,,,,,,
1784021359.764,146576000,21,1,2,0,10.0,25.0,10.0,25.0,9.094204902648926,25.0947322845459,-0.09473264217376709,43.94814682006836,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.2772932052612305,,,,,,,,,,,,,,,,
1784021359.766,146586000,22,1,3,0,10.0,25.0,10.0,25.0,8.963732719421387,25.425031661987305,-0.42503178119659424,37.3408317565918,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0570485591888428,,,,,,,,,,,,,,,,
1784021359.788,146596000,23,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
