host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,x_alignment,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_safety_relief_cm,gait_rear_x_safety_relief_cmps,gait_sync_mps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg,att_accel_abs_mps2
1784053969.440,198590000,149,1,3,0,10.0,25.0,10.0,25.0,8.85734748840332,25.49941635131836,-0.49941539764404297,35.00554656982422,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9752864837646484,1.1426522731781006,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.472,198603000,150,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.01629035174846649,-0.007893070578575134,0.04003050550818443,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1784053969.485,198618000,151,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.5015161037445068,0.23988240957260132,-0.020319819450378418,0.008492961525917053,0.0,0.0,0.03796863555908203,0.009733893908560276,-1.5218359231948853,0.24837537109851837,9.847969055175781
1784053969.588,198715000,156,1,0,0,10.0,25.0,10.0,25.0,8.878430366516113,25.39457130432129,-0.39457082748413086,31.85335922241211,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.8852843642234802,1.1215693950653076,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.614,198740000,157,1,1,0,10.0,25.0,10.0,25.0,8.933070182800293,25.27226448059082,-0.27226507663726807,39.390419006347656,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.1202882528305054,1.0669291019439697,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.614,198767000,158,1,2,0,10.0,25.0,10.0,25.0,9.244872093200684,25.046789169311523,-0.04678964614868164,45.422019958496094,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.3358583450317383,0.7551275491714478,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.639,198788000,159,1,3,0,10.0,25.0,10.0,25.0,8.857303619384766,25.499385833740234,-0.4993855953216553,34.988441467285156,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.9746306538581848,1.1426955461502075,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784053969.655,198801000,160,2,255,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.01806340180337429,-0.020925698801875114,0.04005030170083046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1784053969.670,198815000,161,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-1.5015161037445068,0.23988240957260132,-0.0021620988845825195,-0.019239425659179688,0.0,0.0,0.05165386199951172,0.006170942913740873,-1.5036782026290894,0.22064298391342163,9.861654281616211
1784053969.770,198909000,166,1,0,0,10.0,25.0,10.0,25.0,8.879119873046875,25.39433479309082,-0.39433538913726807,31.852210998535156,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.8848984241485596,1.1208795309066772,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
