host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,error_x_cm,knee_torque_limit_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n,gait_rear_x_relief_cm,gait_rear_x_relief_cmps,att_enabled,att_imu_valid,att_zero_valid,att_mode,att_support_projection_mode,att_force_solution_ok,att_stance_leg_count,att_bump_request,att_roll_zero_deg,att_pitch_zero_deg,att_roll_err_deg,att_pitch_err_deg,att_roll_moment_cmd_nm,att_pitch_moment_cmd_nm,att_accel_dev_mps2,att_gyro_abs_dps,att_roll_raw_deg,att_pitch_raw_deg
1784028818.445,112706000,218,1,0,0,10.0,25.0,10.0,25.0,8.622984886169434,25.3261775970459,-0.3261774778366089,34.04291534423828,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9319568276405334,1.3770148754119873,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.459,112716000,219,1,1,0,10.0,25.0,10.0,25.0,8.860358238220215,25.31583023071289,-0.3158301115036011,38.05059814453125,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0725958347320557,1.1396408081054688,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.459,112726000,220,1,2,0,10.0,25.0,10.0,25.0,8.6857271194458,25.240962982177734,-0.24096369743347168,39.474853515625,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1026794910430908,1.3142727613449097,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.459,112736000,221,1,3,0,10.0,25.0,10.0,25.0,8.849087715148926,25.41099739074707,-0.4109978675842285,37.80381393432617,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0617233514785767,1.1509120464324951,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.463,112746000,222,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784028818.463,112756000,223,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784028818.489,112806000,228,1,0,0,10.0,25.0,10.0,25.0,8.62194538116455,25.32577133178711,-0.32577216625213623,33.99124526977539,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9297733902931213,1.378054141998291,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.499,112816000,229,1,1,0,10.0,25.0,10.0,25.0,8.859687805175781,25.31602668762207,-0.31602680683135986,38.110843658447266,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.07431960105896,1.140311360359192,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.508,112826000,230,1,2,0,10.0,25.0,10.0,25.0,8.682635307312012,25.24207878112793,-0.24207830429077148,39.45974349975586,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1020729541778564,1.317363977432251,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.514,112836000,231,1,3,0,10.0,25.0,10.0,25.0,8.846617698669434,25.412324905395508,-0.41232407093048096,37.72922897338867,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0589457750320435,1.1533819437026978,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.528,112846000,232,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784028818.542,112856000,233,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784028818.590,112906000,238,1,0,0,10.0,25.0,10.0,25.0,8.623165130615234,25.325834274291992,-0.3258347511291504,34.049949645996094,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9317784905433655,1.376834511756897,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.594,112916000,239,1,1,0,10.0,25.0,10.0,25.0,8.858611106872559,25.315935134887695,-0.315934419631958,38.07939147949219,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.0729907751083374,1.141387939453125,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.609,112926000,240,1,2,0,10.0,25.0,10.0,25.0,8.68673038482666,25.240234375,-0.24023354053497314,39.56003189086914,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.1054879426956177,1.3132691383361816,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.615,112936000,241,1,3,0,10.0,25.0,10.0,25.0,8.84953498840332,25.411224365234375,-0.411224365234375,37.18703079223633,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0418016910552979,1.1504642963409424,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.628,112946000,242,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784028818.636,112956000,243,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784028818.688,113006000,248,1,0,0,10.0,25.0,10.0,25.0,8.623353004455566,25.324308395385742,-0.3243088722229004,34.11212921142578,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.9335765242576599,1.3766467571258545,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.692,113016000,249,1,1,0,10.0,25.0,10.0,25.0,8.858880043029785,25.31639289855957,-0.3163933753967285,38.01942825317383,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,1.071229100227356,1.1411190032958984,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.708,113026000,250,1,2,0,10.0,25.0,10.0,25.0,8.683297157287598,25.242229461669922,-0.24223029613494873,39.35722351074219,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-1.098623514175415,1.3167023658752441,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.712,113036000,251,1,3,0,10.0,25.0,10.0,25.0,8.8485689163208,25.41080093383789,-0.4108011722564697,37.803871154785156,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,1.0617460012435913,1.151430606842041,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784028818.728,113046000,252,2,255,0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
1784028818.732,113056000,253,3,254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
