host_time_s,time_us,seq,frame_type,leg_id,flags,raw_target_x_cm,raw_target_y_cm,target_x_cm,target_y_cm,actual_x_cm,actual_y_cm,error_y_cm,fy_total_n,fy_up_n,fy_sag_n,swing_unload_n,stance_takeoff_release,stance_entry_ramp,stance_support_ramp,sag_rescue,tau_ff_knee_nm,gait_cmd_vx_mps,gait_cmd_wz_radps,gait_target_stride_cm,gait_target_lift_cm,gait_stride_cm,gait_lift_cm,wheel_leg_base_mps,wheel_leg_turn_mps,roll_err_filt_deg,pitch_err_filt_deg,comp_scale,vibration_scale,support_force_bias_leg0_n,support_force_bias_leg1_n,support_force_bias_leg2_n,support_force_bias_leg3_n
1784020743.507,156726000,12,1,0,0,10.0,25.0,10.0,25.0,11.37968635559082,26.156246185302734,-1.1562466621398926,8.604408264160156,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.34909579157829285,,,,,,,,,,,,,,,,
1784020743.519,156736000,13,1,1,0,10.0,25.0,10.0,25.0,9.53643798828125,26.358144760131836,-1.3581454753875732,6.240100860595703,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,0.15373530983924866,,,,,,,,,,,,,,,,
1784020743.520,156746000,14,1,2,0,10.0,25.0,10.0,25.0,9.469450950622559,26.25199317932129,-1.2519925832748413,8.865921020507812,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-0.22824710607528687,,,,,,,,,,,,,,,,
1784020743.520,156756000,15,1,3,0,10.0,25.0,10.0,25.0,10.570152282714844,26.413137435913086,-1.4131367206573486,7.165233612060547,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.25364965200424194,,,,,,,,,,,,,,,,
1784020743.528,156766000,16,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784020743.575,156816000,21,1,0,0,10.0,25.0,10.0,25.0,11.379158020019531,26.15605926513672,-1.15605890750885,8.658504486083984,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.3505454361438751,,,,,,,,,,,,,,,,
1784020743.589,156826000,22,1,1,0,10.0,25.0,10.0,25.0,9.5377197265625,26.356861114501953,-1.3568609952926636,6.348423004150391,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,0.15731596946716309,,,,,,,,,,,,,,,,
1784020743.594,156836000,23,1,2,0,10.0,25.0,10.0,25.0,9.468798637390137,26.25213623046875,-1.2521356344223022,8.53458023071289,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-0.21654847264289856,,,,,,,,,,,,,,,,
1784020743.610,156846000,24,1,3,0,10.0,25.0,10.0,25.0,10.568638801574707,26.41373062133789,-1.4137297868728638,7.066783905029297,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.2501322031021118,,,,,,,,,,,,,,,,
1784020743.617,156856000,25,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784020743.669,156906000,30,1,0,0,10.0,25.0,10.0,25.0,11.379971504211426,26.155656814575195,-1.1556565761566162,8.503952026367188,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.34567198157310486,,,,,,,,,,,,,,,,
1784020743.673,156916000,31,1,1,0,10.0,25.0,10.0,25.0,9.537399291992188,26.357349395751953,-1.3573497533798218,6.266605377197266,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,0.1546761840581894,,,,,,,,,,,,,,,,
1784020743.691,156926000,32,1,2,0,10.0,25.0,10.0,25.0,9.469793319702148,26.25136375427246,-1.251363754272461,8.703731536865234,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-0.2235027700662613,,,,,,,,,,,,,,,,
1784020743.696,156936000,33,1,3,0,10.0,25.0,10.0,25.0,10.571175575256348,26.412626266479492,-1.412627100944519,6.792346954345703,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.24148917198181152,,,,,,,,,,,,,,,,
1784020743.711,156946000,34,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784020743.757,156996000,39,1,0,0,10.0,25.0,10.0,25.0,11.379369735717773,26.156890869140625,-1.1568903923034668,8.570011138916016,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.34783637523651123,,,,,,,,,,,,,,,,
1784020743.769,157006000,40,1,1,0,10.0,25.0,10.0,25.0,9.537017822265625,26.357114791870117,-1.357114315032959,6.279064178466797,47.669551849365234,0.0,0.0,0.0,1.0,1.0,0.0,0.1549016386270523,,,,,,,,,,,,,,,,
1784020743.779,157016000,41,1,2,0,10.0,25.0,10.0,25.0,9.469217300415039,26.25240707397461,-1.2524068355560303,8.56624984741211,46.83324432373047,0.0,0.0,0.0,1.0,1.0,0.0,-0.2190549224615097,,,,,,,,,,,,,,,,
1784020743.790,157026000,42,1,3,0,10.0,25.0,10.0,25.0,10.569510459899902,26.413389205932617,-1.413390040397644,7.3375396728515625,50.1784782409668,0.0,0.0,0.0,1.0,1.0,0.0,0.25894924998283386,,,,,,,,,,,,,,,,
1784020743.801,157036000,43,2,255,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,2.450000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784020743.851,157086000,48,1,0,0,10.0,25.0,10.0,25.0,11.379655838012695,26.156307220458984,-1.156306266784668,8.656440734863281,43.906166076660156,0.0,0.0,0.0,1.0,1.0,0.0,-0.35064277052879333,,,,,,,,,,,,,,,,
