[INFO] [1783988649.055320540] [global_localization]: Waiting for global map...
[INFO] [1783988649.055742838] [global_localization]: Loading map: /home/hyper/program/2026_Gsing-second_ROS/map/PCD25.pcd, voxel_size=0.01
[INFO] [1783988649.305659427] [global_localization]: Map loaded: raw=342595 pts, downsampled=71865 pts
[INFO] [1783988649.306059816] [global_localization]: Global map received.
[INFO] [1783988649.811056605] [global_localization]: Waiting for initial pose...
[INFO] [1783988650.311935256] [global_localization]: Waiting for initial pose...
[INFO] [1783988650.811422647] [global_localization]: Waiting for initial pose...
[INFO] [1783988651.311162952] [global_localization]: Waiting for initial pose...
[INFO] [1783988651.811464878] [global_localization]: Waiting for initial pose...
[INFO] [1783988652.311105275] [global_localization]: Waiting for initial pose...
[INFO] [1783988652.811051544] [global_localization]: Waiting for initial pose...
[INFO] [1783988653.311079605] [global_localization]: Waiting for initial pose...
[INFO] [1783988653.811858958] [global_localization]: Waiting for initial pose...
[INFO] [1783988654.311388456] [global_localization]: Waiting for initial pose...
[INFO] [1783988654.810958623] [global_localization]: Waiting for initial pose...
[INFO] [1783988655.311502456] [global_localization]: Waiting for initial pose...
[INFO] [1783988655.811382619] [global_localization]: Waiting for initial pose...
[INFO] [1783988656.311869404] [global_localization]: Waiting for initial pose...
[INFO] [1783988656.811108358] [global_localization]: Waiting for initial pose...
[INFO] [1783988657.311488770] [global_localization]: Waiting for initial pose...
[INFO] [1783988657.811684779] [global_localization]: Waiting for initial pose...
[INFO] [1783988658.311798099] [global_localization]: Waiting for initial pose...
[INFO] [1783988658.811845581] [global_localization]: Waiting for initial pose...
[INFO] [1783988659.311439415] [global_localization]: Waiting for initial pose...
[INFO] [1783988659.811536768] [global_localization]: Waiting for initial pose...
[INFO] [1783988660.311366274] [global_localization]: Waiting for initial pose...
[INFO] [1783988660.811966469] [global_localization]: Waiting for initial pose...
[INFO] [1783988661.311984631] [global_localization]: Waiting for initial pose...
[INFO] [1783988661.811504119] [global_localization]: Waiting for initial pose...
[INFO] [1783988662.311660142] [global_localization]: Waiting for initial pose...
[INFO] [1783988662.811550864] [global_localization]: Waiting for initial pose...
[INFO] [1783988663.311025214] [global_localization]: Waiting for initial pose...
[INFO] [1783988663.812177941] [global_localization]: Waiting for initial pose...
[INFO] [1783988664.311425482] [global_localization]: Waiting for initial pose...
[INFO] [1783988664.811409092] [global_localization]: Waiting for initial pose...
[INFO] [1783988665.311501409] [global_localization]: Waiting for initial pose...
[INFO] [1783988665.811466257] [global_localization]: Waiting for initial pose...
[INFO] [1783988666.312264392] [global_localization]: Waiting for initial pose...
[INFO] [1783988666.811439087] [global_localization]: Waiting for initial pose...
[INFO] [1783988667.311453760] [global_localization]: Waiting for initial pose...
[INFO] [1783988667.811067594] [global_localization]: Waiting for initial pose...
[INFO] [1783988668.311430697] [global_localization]: Waiting for initial pose...
[INFO] [1783988668.811607670] [global_localization]: Waiting for initial pose...
[INFO] [1783988669.311405129] [global_localization]: Waiting for initial pose...
[INFO] [1783988669.811619148] [global_localization]: Waiting for initial pose...
[INFO] [1783988670.311792137] [global_localization]: Waiting for initial pose...
[INFO] [1783988670.811534757] [global_localization]: Waiting for initial pose...
[INFO] [1783988671.311705366] [global_localization]: Waiting for initial pose...
[INFO] [1783988671.811513832] [global_localization]: Waiting for initial pose...
[INFO] [1783988672.311338715] [global_localization]: Waiting for initial pose...
