[INFO] [1784084381.365634188] [global_localization]: Waiting for global map...
[INFO] [1784084381.368015408] [global_localization]: Loading map: /home/gsing/2026Gsing/2026_Gsing-second_ROS/map/PCD33.pcd, voxel_size=0.08
[INFO] [1784084381.434933287] [global_localization]: Map loaded: raw=532258 pts
[INFO] [1784084381.914233933] [global_localization]: Map downsampled: 1434 pts
[INFO] [1784084381.917606134] [global_localization]: Global map received.
[INFO] [1784084382.456501038] [global_localization]: Waiting for initial pose...
[INFO] [1784084382.966948648] [global_localization]: Waiting for initial pose...
[INFO] [1784084383.505262656] [global_localization]: Waiting for initial pose...
[INFO] [1784084383.978182362] [global_localization]: Waiting for initial pose...
[INFO] [1784084384.472080992] [global_localization]: Waiting for initial pose...
[INFO] [1784084384.956645213] [global_localization]: Waiting for initial pose...
[INFO] [1784084385.462347844] [global_localization]: Waiting for initial pose...
[INFO] [1784084385.964479504] [global_localization]: Waiting for initial pose...
[INFO] [1784084386.471679843] [global_localization]: Waiting for initial pose...
[INFO] [1784084386.958962597] [global_localization]: Waiting for initial pose...
[INFO] [1784084386.962887977] [global_localization]: _auto_init_if_needed: initialized=False cur_scan=✗
[INFO] [1784084387.456790729] [global_localization]: Waiting for initial pose...
[INFO] [1784084387.965293495] [global_localization]: Waiting for initial pose...
[INFO] [1784084388.456190455] [global_localization]: Waiting for initial pose...
[INFO] [1784084388.956240084] [global_localization]: Waiting for initial pose...
[INFO] [1784084389.456125744] [global_localization]: Waiting for initial pose...
[INFO] [1784084389.955894461] [global_localization]: Waiting for initial pose...
[INFO] [1784084390.456119243] [global_localization]: Waiting for initial pose...
[INFO] [1784084390.956816968] [global_localization]: Waiting for initial pose...
[INFO] [1784084391.456634511] [global_localization]: Waiting for initial pose...
[INFO] [1784084391.956485786] [global_localization]: Waiting for initial pose...
[INFO] [1784084391.961315935] [global_localization]: _auto_init_if_needed: initialized=False cur_scan=✗
[INFO] [1784084392.456724334] [global_localization]: Waiting for initial pose...
[INFO] [1784084392.956015112] [global_localization]: Waiting for initial pose...
[INFO] [1784084393.463613371] [global_localization]: Waiting for initial pose...
[INFO] [1784084393.956343627] [global_localization]: Waiting for initial pose...
[INFO] [1784084394.456133648] [global_localization]: Waiting for initial pose...
[INFO] [1784084394.956603767] [global_localization]: Waiting for initial pose...
[INFO] [1784084395.456234588] [global_localization]: Waiting for initial pose...
[INFO] [1784084395.960027361] [global_localization]: Waiting for initial pose...
[INFO] [1784084396.457369674] [global_localization]: Waiting for initial pose...
[INFO] [1784084396.981225818] [global_localization]: Waiting for initial pose...
[INFO] [1784084396.996527710] [global_localization]: _auto_init_if_needed: initialized=False cur_scan=✗
[INFO] [1784084397.456235522] [global_localization]: Waiting for initial pose...
[INFO] [1784084397.956043460] [global_localization]: Waiting for initial pose...
[INFO] [1784084398.457647488] [global_localization]: Waiting for initial pose...
[INFO] [1784084398.956006634] [global_localization]: Waiting for initial pose...
[INFO] [1784084399.456640448] [global_localization]: Waiting for initial pose...
[INFO] [1784084399.956895423] [global_localization]: Waiting for initial pose...
[INFO] [1784084400.455805686] [global_localization]: Waiting for initial pose...
[INFO] [1784084400.956119271] [global_localization]: Waiting for initial pose...
[INFO] [1784084401.456400329] [global_localization]: Waiting for initial pose...
[INFO] [1784084401.956276458] [global_localization]: Waiting for initial pose...
[INFO] [1784084401.958950063] [global_localization]: _auto_init_if_needed: initialized=False cur_scan=✗
[INFO] [1784084402.465657292] [global_localization]: Waiting for initial pose...
[INFO] [1784084402.955799374] [global_localization]: Waiting for initial pose...
[INFO] [1784084403.456107599] [global_localization]: Waiting for initial pose...
[INFO] [1784084403.955771325] [global_localization]: Waiting for initial pose...
[INFO] [1784084404.456446434] [global_localization]: Waiting for initial pose...
[INFO] [1784084404.957585414] [global_localization]: Waiting for initial pose...
